MGP ID,Entrez Gene ID,Gene name,Symbol,pathway_name
MGP001661,3674,"integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)",ITGA2B,Abciximab Action Pathway
MGP001674,3690,"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)",ITGB3,Abciximab Action Pathway
MGP003028,6833,"ATP-binding cassette, sub-family C (CFTR/MRP), member 8",ABCC8,Acebutolol Action Pathway
MGP004107,10060,"ATP-binding cassette, sub-family C (CFTR/MRP), member 9",ABCC9,Acebutolol Action Pathway
MGP000085,153,adrenoceptor beta 1,ADRB1,Acebutolol Action Pathway
MGP000101,185,"angiotensin II receptor, type 1",AGTR1,Acebutolol Action Pathway
MGP000101,185,"angiotensin II receptor, type 1",AGTR1,Acebutolol Action Pathway
MGP006598,144245,"ALG10B, alpha-1,2-glucosyltransferase",ALG10B,Acebutolol Action Pathway
MGP000235,476,"ATPase, Na+/K+ transporting, alpha 1 polypeptide",ATP1A1,Acebutolol Action Pathway
MGP000236,477,"ATPase, Na+/K+ transporting, alpha 2 polypeptide",ATP1A2,Acebutolol Action Pathway
MGP000237,478,"ATPase, Na+/K+ transporting, alpha 3 polypeptide",ATP1A3,Acebutolol Action Pathway
MGP000239,480,"ATPase, Na+/K+ transporting, alpha 4 polypeptide",ATP1A4,Acebutolol Action Pathway
MGP000240,481,"ATPase, Na+/K+ transporting, beta 1 polypeptide",ATP1B1,Acebutolol Action Pathway
MGP000241,482,"ATPase, Na+/K+ transporting, beta 2 polypeptide",ATP1B2,Acebutolol Action Pathway
MGP000242,483,"ATPase, Na+/K+ transporting, beta 3 polypeptide",ATP1B3,Acebutolol Action Pathway
MGP000245,488,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",ATP2A2,Acebutolol Action Pathway
MGP000381,775,"calcium channel, voltage-dependent, L type, alpha 1C subunit",CACNA1C,Acebutolol Action Pathway
MGP003746,8913,"calcium channel, voltage-dependent, T type, alpha 1G subunit",CACNA1G,Acebutolol Action Pathway
MGP003745,8912,"calcium channel, voltage-dependent, T type, alpha 1H subunit",CACNA1H,Acebutolol Action Pathway
MGP003841,9254,"calcium channel, voltage-dependent, alpha 2/delta subunit 2",CACNA2D2,Acebutolol Action Pathway
MGP000386,782,"calcium channel, voltage-dependent, beta 1 subunit",CACNB1,Acebutolol Action Pathway
MGP000396,801,"calmodulin 1 (phosphorylase kinase, delta)",CALM1,Acebutolol Action Pathway
MGP000549,1129,"cholinergic receptor, muscarinic 2",CHRM2,Acebutolol Action Pathway
MGP000839,1739,"discs, large homolog 1 (Drosophila)",DLG1,Acebutolol Action Pathway
MGP000243,486,FXYD domain containing ion transport regulator 2,FXYD2,Acebutolol Action Pathway
MGP004091,10021,hyperpolarization activated cyclic nucleotide gated potassium channel 4,HCN4,Acebutolol Action Pathway
MGP001686,3708,"inositol 1,4,5-trisphosphate receptor, type 1",ITPR1,Acebutolol Action Pathway
MGP001686,3708,"inositol 1,4,5-trisphosphate receptor, type 1",ITPR1,Acebutolol Action Pathway
MGP001703,3741,"potassium channel, voltage gated shaker related subfamily A, member 5",KCNA5,Acebutolol Action Pathway
MGP001714,3752,"potassium channel, voltage gated Shal related subfamily D, member 3",KCND3,Acebutolol Action Pathway
MGP001715,3753,"potassium channel, voltage gated subfamily E regulatory beta subunit 1",KCNE1,Acebutolol Action Pathway
MGP004078,9992,"potassium channel, voltage gated subfamily E regulatory beta subunit 2",KCNE2,Acebutolol Action Pathway
MGP001718,3757,"potassium channel, voltage gated eag related subfamily H, member 2",KCNH2,Acebutolol Action Pathway
MGP005046,30819,Kv channel interacting protein 2,KCNIP2,Acebutolol Action Pathway
MGP001728,3767,"potassium channel, inwardly rectifying subfamily J, member 11",KCNJ11,Acebutolol Action Pathway
MGP001720,3759,"potassium channel, inwardly rectifying subfamily J, member 2",KCNJ2,Acebutolol Action Pathway
MGP001721,3760,"potassium channel, inwardly rectifying subfamily J, member 3",KCNJ3,Acebutolol Action Pathway
MGP001722,3761,"potassium channel, inwardly rectifying subfamily J, member 4",KCNJ4,Acebutolol Action Pathway
MGP001723,3762,"potassium channel, inwardly rectifying subfamily J, member 5",KCNJ5,Acebutolol Action Pathway
MGP001725,3764,"potassium channel, inwardly rectifying subfamily J, member 8",KCNJ8,Acebutolol Action Pathway
