,geneSymbol,geneSymbol_link,map_loc,chromosome,synonyms,summary
0,MGP001661,http://www.genenames.org/cgi-bin/gene_symbol_report?match=ITGA2B,17q21.32,17,GT; GTA; CD41; GP2B; HPA3; CD41B; GPIIb; BDPLT2; BDPLT16; PPP1R93;,"ITGA2B encodes integrin alpha chain 2b. Integrins are heterodimeric integral membrane proteins composed of an alpha chain and a beta chain. Alpha chain 2b undergoes post-translational cleavage to yield disulfide-linked light and heavy chains that join with beta 3 to form a fibronectin receptor expressed in platelets that plays a crucial role in coagulation. Mutations that interfere with this role result in thrombasthenia. In addition to adhesion, integrins are known to participate in cell-surface mediated signalling. [provided by RefSeq, Jul 2008]"
1,MGP001674,http://www.genenames.org/cgi-bin/gene_symbol_report?match=ITGB3,17q21.32,17,GT; CD61; GP3A; BDPLT2; GPIIIa; BDPLT16;,"The ITGB3 protein product is the integrin beta chain beta 3. Integrins are integral cell-surface proteins composed of an alpha chain and a beta chain. A given chain may combine with multiple partners resulting in different integrins. Integrin beta 3 is found along with the alpha IIb chain in platelets. Integrins are known to participate in cell adhesion as well as cell-surface mediated signalling. [provided by RefSeq, Jul 2008]"
2,MGP003028,http://www.genenames.org/cgi-bin/gene_symbol_report?match=ABCC8,11p15.1,11,HI; SUR; HHF1; MRP8; PHHI; SUR1; ABC36; HRINS; TNDM2; SUR1delta2;,"The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the MRP subfamily which is involved in multi-drug resistance. This protein functions as a modulator of ATP-sensitive potassium channels and insulin release. Mutations and deficiencies in this protein have been observed in patients with hyperinsulinemic hypoglycemia of infancy, an autosomal recessive disorder of unregulated and high insulin secretion. Mutations have also been associated with non-insulin-dependent diabetes mellitus type II, an autosomal dominant disease of defective insulin secretion. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Dec 2013]"
3,MGP004107,http://www.genenames.org/cgi-bin/gene_symbol_report?match=ABCC9,12p12.1,12,SUR2; ABC37; CANTU; CMD1O; ATFB12;,"The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the MRP subfamily which is involved in multi-drug resistance. This protein is thought to form ATP-sensitive potassium channels in cardiac, skeletal, and vascular and non-vascular smooth muscle. Protein structure suggests a role as the drug-binding channel-modulating subunit of the extra-pancreatic ATP-sensitive potassium channels. Mutations in this gene are associated with cardiomyopathy dilated type 1O. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Apr 2011]"
4,MGP000085,http://www.genenames.org/cgi-bin/gene_symbol_report?match=ADRB1,10q25.3,10,RHR; B1AR; ADRB1R; BETA1AR;,"The adrenergic receptors (subtypes alpha 1, alpha 2, beta 1, and beta 2) are a prototypic family of guanine nucleotide binding regulatory protein-coupled receptors that mediate the physiological effects of the hormone epinephrine and the neurotransmitter norepinephrine. Specific polymorphisms in this gene have been shown to affect the resting heart rate and can be involved in heart failure. [provided by RefSeq, Jul 2008]"
5,MGP000101,http://www.genenames.org/cgi-bin/gene_symbol_report?match=AGTR1,3q24,3,AT1; AG2S; AT1B; AT1R; AT1AR; AT1BR; AT2R1; HAT1R; AGTR1B;,"Angiotensin II is a potent vasopressor hormone and a primary regulator of aldosterone secretion. It is an important effector controlling blood pressure and volume in the cardiovascular system. It acts through at least two types of receptors. This gene encodes the type 1 receptor which is thought to mediate the major cardiovascular effects of angiotensin II. This gene may play a role in the generation of reperfusion arrhythmias following restoration of blood flow to ischemic or infarcted myocardium. It was previously thought that a related gene, denoted as AGTR1B, existed; however, it is now believed that there is only one type 1 receptor gene in humans. Multiple alternatively spliced transcript variants have been reported for this gene. [provided by RefSeq, Jul 2012]"
6,MGP000101,http://www.genenames.org/cgi-bin/gene_symbol_report?match=AGTR1,3q24,3,AT1; AG2S; AT1B; AT1R; AT1AR; AT1BR; AT2R1; HAT1R; AGTR1B;,"Angiotensin II is a potent vasopressor hormone and a primary regulator of aldosterone secretion. It is an important effector controlling blood pressure and volume in the cardiovascular system. It acts through at least two types of receptors. This gene encodes the type 1 receptor which is thought to mediate the major cardiovascular effects of angiotensin II. This gene may play a role in the generation of reperfusion arrhythmias following restoration of blood flow to ischemic or infarcted myocardium. It was previously thought that a related gene, denoted as AGTR1B, existed; however, it is now believed that there is only one type 1 receptor gene in humans. Multiple alternatively spliced transcript variants have been reported for this gene. [provided by RefSeq, Jul 2012]"
7,MGP006598,http://www.genenames.org/cgi-bin/gene_symbol_report?match=ALG10B,12q12,12,KCR1; ALG10;,
8,MGP000235,http://www.genenames.org/cgi-bin/gene_symbol_report?match=ATP1A1,1p21,1,,"The protein encoded by this gene belongs to the family of P-type cation transport ATPases, and to the subfamily of Na+/K+ -ATPases. Na+/K+ -ATPase is an integral membrane protein responsible for establishing and maintaining the electrochemical gradients of Na and K ions across the plasma membrane. These gradients are essential for osmoregulation, for sodium-coupled transport of a variety of organic and inorganic molecules, and for electrical excitability of nerve and muscle. This enzyme is composed of two subunits, a large catalytic subunit (alpha) and a smaller glycoprotein subunit (beta). The catalytic subunit of Na+/K+ -ATPase is encoded by multiple genes. This gene encodes an alpha 1 subunit. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2009]"
9,MGP000236,http://www.genenames.org/cgi-bin/gene_symbol_report?match=ATP1A2,1q23.2,1,FHM2; MHP2;,"The protein encoded by this gene belongs to the family of P-type cation transport ATPases, and to the subfamily of Na+/K+ -ATPases. Na+/K+ -ATPase is an integral membrane protein responsible for establishing and maintaining the electrochemical gradients of Na and K ions across the plasma membrane. These gradients are essential for osmoregulation, for sodium-coupled transport of a variety of organic and inorganic molecules, and for electrical excitability of nerve and muscle. This enzyme is composed of two subunits, a large catalytic subunit (alpha) and a smaller glycoprotein subunit (beta). The catalytic subunit of Na+/K+ -ATPase is encoded by multiple genes. This gene encodes an alpha 2 subunit. Mutations in this gene result in familial basilar or hemiplegic migraines, and in a rare syndrome known as alternating hemiplegia of childhood. [provided by RefSeq, Oct 2008]"
